Position,Name,Team,Total,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Gender
1,André Martinez,,412,201,211,,,,,,,,,,,Bot
2,Augustine Conner,,394,188,206,,,,,,,,,,,Bot
3,Yoobin Pi,,386,190,195,,,,,,,,,,,Bot
4,Xianquan Chau,,332,143,189,,,,,,,,,,,Bot
5,Goran Ješić,Orbit,318,162,155,,,,,,,,,,,Bot
6,Jean-Luc Hill,Capital,300,156,144,,,,,,,,,,,Bot
7,Chance Ramsey,,253,134,118,,,,,,,,,,,Bot
8,Zach Farrell,,210,,210,,,,,,,,,,,Bot
9,Jackie Ventura,,210,210,,,,,,,,,,,,Bot
10,Tony Martin Lake,Wadenterror,209,,209,,,,,,,,,,,Male
11,Patrick Huber,,208,,208,,,,,,,,,,,Bot
12,Roy Jackson,,208,208,,,,,,,,,,,,Bot
13,Matthew Salazar,Titans,208,208,,,,,,,,,,,,Bot
14,Nicolas Reyes,,206,,206,,,,,,,,,,,Bot
15,Jun Ōta,,206,206,,,,,,,,,,,,Bot
16,Jun’ichi Okada,,206,206,,,,,,,,,,,,Bot
17,Keoni Loeak,Delta,204,,204,,,,,,,,,,,Bot
18,Xavier Silva,,204,204,,,,,,,,,,,,Bot
19,henrik simonsen,Stjær e-Cycling,204,,204,,,,,,,,,,,Male
20,Kurt Angus,Allkin Racing,203,203,,,,,,,,,,,,Male
21,Dávid Dudás,,202,,202,,,,,,,,,,,Bot
22,Kaique Correia,,201,201,,,,,,,,,,,,Bot
23,Ciprian Badea,,201,,201,,,,,,,,,,,Bot
24,Romain Lanners,,200,,200,,,,,,,,,,,Bot
25,William Roberts,,199,199,,,,,,,,,,,,Bot
26,Tommy Benn,,199,,199,,,,,,,,,,,Bot
27,Christopher Dixon,Titans,199,199,,,,,,,,,,,,Bot
28,Erwin Kraus,,198,,198,,,,,,,,,,,Bot
29,Emiliano Martini,,197,197,,,,,,,,,,,,Bot
30,Bas Van der Veen,Kumori,197,,197,,,,,,,,,,,Bot
31,Badr Al Mutairi,Krowen,197,197,,,,,,,,,,,,Bot
32,Scott Wright,,195,195,,,,,,,,,,,,Bot
33,Guy Khan,,195,,195,,,,,,,,,,,Bot
34,Erwin Dougherty,,195,195,,,,,,,,,,,,Bot
35,Arthur Clercq,,193,,193,,,,,,,,,,,Bot
36,Uli T,Race3R,193,193,,,,,,,,,,,,Male
37,Seung Ham,,193,,193,,,,,,,,,,,Bot
38,Herman Espinosa,,192,192,,,,,,,,,,,,Bot
39,Aleksandar Brašanac,Krowen,191,,191,,,,,,,,,,,Bot
40,Adrian Wolf,,191,191,,,,,,,,,,,,Bot
41,Hans Watson,,190,,190,,,,,,,,,,,Bot
42,Alexandre Mathieu,,188,,188,,,,,,,,,,,Bot
43,Konstantinos Pappas,,188,188,,,,,,,,,,,,Bot
44,Steven Iqbal,,187,,187,,,,,,,,,,,Bot
45,Kartik Mishra,Dashix,186,186,,,,,,,,,,,,Bot
46,Mathéo Desmet,,186,,186,,,,,,,,,,,Bot
47,Raya Anwar,,186,186,,,,,,,,,,,,Bot
48,Aleksandar Šverko,,184,,184,,,,,,,,,,,Bot
49,Bert Verhoeven,Dashix,184,184,,,,,,,,,,,,Bot
50,Astrid Nordström,Monova,184,,184,,,,,,,,,,,Bot
51,Chunghee Cha,,184,184,,,,,,,,,,,,Bot
52,Joseph Leroy,,182,,182,,,,,,,,,,,Bot
53,Niilo Lindholm,,182,182,,,,,,,,,,,,Bot
54,Jovan Rockov,Fiber Shot,182,,182,,,,,,,,,,,Bot
55,Emil Pilc,Systech,181,181,,,,,,,,,,,,Bot
56,Po Testa,,180,,180,,,,,,,,,,,Bot
57,Suleiman Krishnan,,180,180,,,,,,,,,,,,Bot
58,Goran Lulić,,179,,179,,,,,,,,,,,Bot
59,Igor Jastrow,AMO Solutions,179,179,,,,,,,,,,,,Bot
60,Keven Kaiser,,178,,178,,,,,,,,,,,Bot
61,Liam Mungroo,Eckleson,178,178,,,,,,,,,,,,Bot
62,Frederic Simpson,Nuvio,177,,177,,,,,,,,,,,Bot
63,Zhengyu Loong,,177,177,,,,,,,,,,,,Bot
64,Adrian Lorenzo,Dashix,176,,176,,,,,,,,,,,Bot
65,Håkan Hedlund,,175,175,,,,,,,,,,,,Bot
66,Brent Frederick,Titans,175,,175,,,,,,,,,,,Bot
67,Johan Londoño,,175,175,,,,,,,,,,,,Bot
68,Kian König,,173,,173,,,,,,,,,,,Bot
69,Stefan Groß,,173,173,,,,,,,,,,,,Bot
70,Geoffrey Wallace,True Form,173,,173,,,,,,,,,,,Bot
71,Ross Davies,True Form,173,173,,,,,,,,,,,,Bot
72,Emilio Hudson,Fiber Shot,171,,171,,,,,,,,,,,Bot
73,Colin York,,171,171,,,,,,,,,,,,Bot
74,Magnus Arvidsson,,171,,171,,,,,,,,,,,Bot
75,Banri Takata,,171,171,,,,,,,,,,,,Bot
76,Elie Ndayizeye,Windsail,169,,169,,,,,,,,,,,Bot
77,Yiannakis Demosthenous,Windsail,169,,169,,,,,,,,,,,Bot
78,Anaïs Michel,Base,168,168,,,,,,,,,,,,Bot
79,Stephan Kaiser,,167,,167,,,,,,,,,,,Bot
80,Ludovic Giorgi,,167,167,,,,,,,,,,,,Bot
81,Joon Cheon,Hector,166,,166,,,,,,,,,,,Bot
82,Jamil Ansari,,166,166,,,,,,,,,,,,Bot
83,Jacek Urbański,Aria Olefson,165,,165,,,,,,,,,,,Bot
84,Isamu Noguchi,,165,165,,,,,,,,,,,,Bot
85,Eelis Pitkänen,,164,,164,,,,,,,,,,,Bot
86,Albin Jonsson,,164,164,,,,,,,,,,,,Bot
87,Thad Franklin,,162,,162,,,,,,,,,,,Bot
88,Nehorai Tal,,162,,162,,,,,,,,,,,Bot
89,Risto Aalto,,162,162,,,,,,,,,,,,Bot
90,Yosyp Makarenko,Nuvio,160,160,,,,,,,,,,,,Bot
91,Henk Visser,,160,,160,,,,,,,,,,,Bot
92,Michael Vermeulen,Krowen,160,,160,,,,,,,,,,,Bot
93,Toby Vu,Hector,160,160,,,,,,,,,,,,Bot
94,Kai Schulz,,158,158,,,,,,,,,,,,Bot
95,Noe Mcbride,,158,,158,,,,,,,,,,,Bot
96,Enzo Fontaine,,158,,158,,,,,,,,,,,Bot
97,Darren Harris,,157,157,,,,,,,,,,,,Bot
98,Adam Collard,Aria Olefson,156,,156,,,,,,,,,,,Bot
99,Jan Sadowski,,155,155,,,,,,,,,,,,Bot
100,Michael Griffith,,154,154,,,,,,,,,,,,Bot
101,Nestor Rosas,HCOM,154,,154,,,,,,,,,,,Bot
102,Alan Velasquez,,153,,153,,,,,,,,,,,Bot
103,Michael Van Dam,,153,153,,,,,,,,,,,,Bot
104,Sven Nordin,Saitama,152,152,,,,,,,,,,,,Bot
105,George Kenny,,152,,152,,,,,,,,,,,Bot
106,Marty Mendoza,,151,,151,,,,,,,,,,,Bot
107,Oliwier Jasiński,,151,151,,,,,,,,,,,,Bot
108,Antonia Rios,,149,149,,,,,,,,,,,,Bot
109,Hiram Cain,,149,,149,,,,,,,,,,,Bot
110,Max Danielsen,Titans,149,,149,,,,,,,,,,,Bot
111,Glen Dupuis,,149,149,,,,,,,,,,,,Bot
112,Kálmán Deák,Saitama,147,147,,,,,,,,,,,,Bot
113,Kamil Ješić,,147,,147,,,,,,,,,,,Bot
114,Igor Kosecki,Patriot,147,,147,,,,,,,,,,,Bot
115,Judson Cook,,146,146,,,,,,,,,,,,Bot
116,Fernand Chevalier,,145,145,,,,,,,,,,,,Bot
117,Charles Legrand,YES,145,,145,,,,,,,,,,,Bot
118,Ernest Ball,Saint,144,144,,,,,,,,,,,,Bot
119,Charles Friesen,,143,,143,,,,,,,,,,,Bot
120,Andrej Krstičić,,142,,142,,,,,,,,,,,Bot
121,Akira Wada,,142,142,,,,,,,,,,,,Bot
122,Kevin Medina,,141,141,,,,,,,,,,,,Bot
123,Serge Leroux,Fiber Shot,141,,141,,,,,,,,,,,Bot
124,Tyson Hahn,Saint,140,,140,,,,,,,,,,,Bot
125,Nasser Pillai,,140,140,,,,,,,,,,,,Bot
126,Sten Michaelsen,,139,139,,,,,,,,,,,,Bot
127,Ingrid Peters,Patriot,138,,138,,,,,,,,,,,Bot
128,Bart De Groot,,138,,138,,,,,,,,,,,Bot
129,Fotios Ioannou,Fujikai,138,138,,,,,,,,,,,,Bot
130,Given Banda,,136,136,,,,,,,,,,,,Bot
131,Dobromira Markova,,136,,136,,,,,,,,,,,Bot
132,Dustin Andrews,Nuvio,136,,136,,,,,,,,,,,Bot
133,Ramon Miles,,136,136,,,,,,,,,,,,Bot
134,Hakan Çalişkan,,134,,134,,,,,,,,,,,Bot
135,Alexey Smagulov,,134,,134,,,,,,,,,,,Bot
136,Annie David,AI Thunder,133,133,,,,,,,,,,,,Bot
137,Guy Kongbo,Capital,132,132,,,,,,,,,,,,Bot
138,Víctor Dinis,Titans,132,,132,,,,,,,,,,,Bot
139,Mario Manuel,,131,,131,,,,,,,,,,,Bot
140,Maria Soriano,,131,131,,,,,,,,,,,,Bot
141,Sam Henry,,130,130,,,,,,,,,,,,Bot
142,Gracie Silva,,130,,130,,,,,,,,,,,Bot
143,Chinhwa Dang,Orbit,129,,129,,,,,,,,,,,Bot
144,Faustino Meyer,,129,129,,,,,,,,,,,,Bot
145,Hugo Schmitt,,128,128,,,,,,,,,,,,Bot
146,Vernon Creque,Zonkify,127,,127,,,,,,,,,,,Bot
147,Tukua Ha'apai,AMO Solutions,127,,127,,,,,,,,,,,Bot
148,Tom Schreiner,,127,127,,,,,,,,,,,,Bot
149,Ton De Vries,,126,126,,,,,,,,,,,,Bot
150,Nitai Goldstein,,125,,125,,,,,,,,,,,Bot
151,Jack Thomas,,125,,125,,,,,,,,,,,Bot
152,Fatou Njie,,125,125,,,,,,,,,,,,Bot
153,Santiago Rivas,,123,123,,,,,,,,,,,,Bot
154,Blaine Cain,,123,,123,,,,,,,,,,,Bot
155,Jim Wilson,,123,,123,,,,,,,,,,,Bot
156,Joseph Kramer,,122,122,,,,,,,,,,,,Bot
157,Vitor Guerreiro,,121,121,,,,,,,,,,,,Bot
158,Andrej Pakula,,121,,121,,,,,,,,,,,Bot
159,Jerry Ross,,120,,120,,,,,,,,,,,Bot
160,Dirk Rabenstein,,120,120,,,,,,,,,,,,Bot
161,Per Ali,,119,119,,,,,,,,,,,,Bot
162,Francis Fabre,,119,,119,,,,,,,,,,,Bot
163,Raimo Rautiainen,Windsail,118,118,,,,,,,,,,,,Bot
164,Noble Blanchard,,117,117,,,,,,,,,,,,Bot
165,Ben Hughes,,116,,116,,,,,,,,,,,Bot
166,Salvatore Perrone,,116,,116,,,,,,,,,,,Bot
167,Stan Barajas,,116,116,,,,,,,,,,,,Bot
168,Nolan Harvey,Zonkify,115,115,,,,,,,,,,,,Bot
169,Ulysses Cantu,Heat,114,,114,,,,,,,,,,,Bot
170,Rocco Dal,,114,,114,,,,,,,,,,,Bot
171,Lelia Mercado,Eckleson,114,114,,,,,,,,,,,,Bot
172,Neil Walker,Wadenterror,113,113,,,,,,,,,,,,Male
173,Livo Mattila,,112,,112,,,,,,,,,,,Bot
174,Lars Collard,Kumori,112,,112,,,,,,,,,,,Bot
175,Silke Herrmann,,112,112,,,,,,,,,,,,Bot
176,Christian Schulte,,110,110,,,,,,,,,,,,Bot
177,Hajar Al-Muqbali,Fable,110,,110,,,,,,,,,,,Bot
178,Ove Sandberg,Sherpa,109,,109,,,,,,,,,,,Bot
179,Ramón Vera,,109,109,,,,,,,,,,,,Bot
180,Ronald Verhoeven,Pioma,107,107,,,,,,,,,,,,Bot
181,Txarrena RTX,,105,105,,,,,,,,,,,,Male
182,Atharva Ganguly,,0,,,,,,,,,,,,,Bot
183,Ben Regan,,0,,,,,,,,,,,,,Bot
184,Frank Friesen,Roklit,0,,,,,,,,,,,,,Bot
185,Jasper van Olst,,0,,,,,,,,,,,,,Male
186,Roland Renaud,,0,,,,,,,,,,,,,Bot
187,Urho Heikkilä,,0,,,,,,,,,,,,,Bot
