EventKey,Pen,Position,Name,Team,Country,Time,DeltaTime,Distance,DeltaDistance,Points,Gender,UID,ARR,ARRBand,EventRating,EventRatingBand,AgeBand,Pen Group,Week,Type,Points,Climb,Pen Size,Rank,Pen Rating
98123,1,1,Simo Vic,,ITA,3540.15,0,41196.941,0,0,Male,5B41936AB66334FA,100,Bronze 1,1336,Platinum 1,45-49,Platinum 1,Week 1,Monday Mixer Crit,256,215,49,Platinum,66287
98123,1,2,Hugo Mathieu,,FRA,3541.051,0.901,41196.941,0,0,Bot,Bot2350,1323,Platinum 1,1323,Platinum 1,,Platinum 1,Week 1,Monday Mixer Crit,254,215,49,Platinum,66287
98123,1,3,Joseph Stein,,AUT,3541.283,1.133,41196.941,0,0,Bot,Bot3359,1327,Platinum 1,1327,Platinum 1,,Platinum 1,Week 1,Monday Mixer Crit,251,215,49,Platinum,66287
98123,1,4,Jochen Hübner,,SUI,3541.529,1.379,41196.941,0,0,Bot,Bot4146,1410,Platinum 2,1410,Platinum 2,,Platinum 1,Week 1,Monday Mixer Crit,248,215,49,Platinum,66287
98123,1,5,Wilson Lewis,,AUS,3541.571,1.421,41196.941,0,0,Bot,Bot1895,1313,Platinum 1,1313,Platinum 1,,Platinum 1,Week 1,Monday Mixer Crit,246,215,49,Platinum,66287
98123,1,6,Hassan Al-Khatib,,SYR,3541.586,1.436,41196.941,0,0,Bot,Bot3077,1410,Platinum 2,1410,Platinum 2,,Platinum 1,Week 1,Monday Mixer Crit,243,215,49,Platinum,66287
98123,1,7,Linus Keller,,GER,3541.596,1.446,41196.941,0,0,Bot,Bot4984,1360,Platinum 1,1360,Platinum 1,,Platinum 1,Week 1,Monday Mixer Crit,240,215,49,Platinum,66287
98123,1,8,Seojoon Rim,Aria Olefson,KOR,3541.597,1.447,41196.941,0,0,Bot,Bot9328,1318,Platinum 1,1318,Platinum 1,,Platinum 1,Week 1,Monday Mixer Crit,238,215,49,Platinum,66287
98123,1,9,Marcin Pawlak,,POL,3541.655,1.505,41196.941,0,0,Bot,Bot2251,1304,Platinum 1,1304,Platinum 1,,Platinum 1,Week 1,Monday Mixer Crit,235,215,49,Platinum,66287
98123,1,10,Andres Romero,,PAN,3541.716,1.566,41196.941,0,0,Bot,Bot7565,1304,Platinum 1,1304,Platinum 1,,Platinum 1,Week 1,Monday Mixer Crit,232,215,49,Platinum,66287
