Name,Team,Country,Place,Points,Pen Rating,Week,AgeBand,Gender
Matthew Forshaw,M4shup Collective,gbr,1,403,1601,Week 02 | Trofeo Palma,55-59,Male
Michael Carilli,Ride 4 Claire,USA,1,387,1537,Week 02 | Trofeo Palma,35-39,Male
Mathias Bach,eCKD Eagles,DEN,2,381,1537,Week 02 | Trofeo Palma,U23,Male
J D O,M4shup Collective,USA,3,375,1537,Week 02 | Trofeo Palma,40-44,Male
David Talbott,Ride 4 Claire,USA,4,368,1537,Week 02 | Trofeo Palma,35-39,Male
Money Matt,Ride 4 Claire,USA,5,362,1537,Week 02 | Trofeo Palma,40-44,Male
Alexandre Peigne,Race3R,FRA,6,356,1537,Week 02 | Trofeo Palma,45-49,Male
Paul  Watkins,TTT Project,WAL,7,349,1537,Week 02 | Trofeo Palma,50-54,Male
Ben Russell,M4shup Collective,gbr,11,345,1601,Week 02 | Trofeo Palma,35-39,Male
Ben Goodfellow,,GBR,8,343,1537,Week 02 | Trofeo Palma,Senior,Male
Doug Hart,Ilkley CC,GBR,9,336,1537,Week 02 | Trofeo Palma,50-54,Male
Flemming Bach,eCKD Eagles,DEN,10,330,1537,Week 02 | Trofeo Palma,50-54,Male
J McMurray,BaseCamp Train Where You Belong,USA,11,324,1537,Week 02 | Trofeo Palma,50-54,Male
Ryan Yates,Allkin Racing,USA,12,317,1537,Week 02 | Trofeo Palma,40-44,Male
Renan Petersen-Wagner,Ilkley CC,BRA,13,311,1537,Week 02 | Trofeo Palma,45-49,Male
Dan Kobberup,eCKD Eagles,DEN,14,305,1537,Week 02 | Trofeo Palma,50-54,Male
tyler bronder,Allkin Racing,USA,15,298,1537,Week 02 | Trofeo Palma,45-49,Male
Jay  Santi,Pedalers,CAN,16,292,1537,Week 02 | Trofeo Palma,50-54,Male
Jonas Knudsen-BikePro.dk,FilsøAktivNatur-BikePro,DEN,17,286,1537,Week 02 | Trofeo Palma,35-39,Male
marc brazeau73,,CAN,18,279,1537,Week 02 | Trofeo Palma,50-54,Male
John Oakes,,USA,20,266,1537,Week 02 | Trofeo Palma,50-54,Male
Sam Carr,,irl,25,262,1601,Week 02 | Trofeo Palma,Senior,Male
Ben Barnard,,USA,21,260,1537,Week 02 | Trofeo Palma,50-54,Male
Tom Ghan,Allkin Racing,USA,24,241,1537,Week 02 | Trofeo Palma,60-64,Male
Daniel Neugebauer,Pedalers,ger,40,174,1601,Week 02 | Trofeo Palma,45-49,Male
Angelo De Lima,,BRA,45,107,1537,Week 02 | Trofeo Palma,45-49,Male
Beau Lock 58,,AUS,46,101,1537,Week 02 | Trofeo Palma,55-59,Male
David Talbott,Ride 4 Claire,USA,2,412,1566,Week 01 | Great Ocean Road Race,35-39,Male
Money Matt,Ride 4 Claire,USA,3,401,1566,Week 01 | Great Ocean Road Race,40-44,Male
Michael Carilli,Ride 4 Claire,USA,4,391,1566,Week 01 | Great Ocean Road Race,35-39,Male
Johan Nordlund,,FIN,6,371,1566,Week 01 | Great Ocean Road Race,45-49,Male
Ben Russell,M4shup Collective,gbr,13,368,1607,Week 01 | Great Ocean Road Race,35-39,Male
David Semianczuk,,USA,8,350,1566,Week 01 | Great Ocean Road Race,Senior,Male
Alexandre Peigne,Race3R,FRA,9,340,1566,Week 01 | Great Ocean Road Race,45-49,Male
Mike Raasch,,USA,10,329,1566,Week 01 | Great Ocean Road Race,40-44,Male
Jay  Santi,Pedalers,CAN,12,309,1566,Week 01 | Great Ocean Road Race,50-54,Male
Mattia Ceccarelli,,ita,1,306,1134,Week 01 | Great Ocean Road Race,35-39,Male
Matthieu Hubert,Race3R,FRA,13,298,1566,Week 01 | Great Ocean Road Race,45-49,Male
Ben Barnard,,USA,14,288,1566,Week 01 | Great Ocean Road Race,50-54,Male
marc brazeau73,,CAN,15,278,1566,Week 01 | Great Ocean Road Race,50-54,Male
Ryan Yates,Allkin Racing,USA,16,267,1566,Week 01 | Great Ocean Road Race,40-44,Male
Sam Carr,,IRL,17,257,1566,Week 01 | Great Ocean Road Race,Senior,Male
J McMurray,BaseCamp Train Where You Belong,USA,18,247,1566,Week 01 | Great Ocean Road Race,50-54,Male
jesper hvisthule,FilsøAktivNatur-BikePro,DEN,19,236,1566,Week 01 | Great Ocean Road Race,60-64,Male
Even Øistensen,Race3R,nor,40,192,1494,Week 01 | Great Ocean Road Race,50-54,Male
Tom Ghan,Allkin Racing,usa,27,192,1134,Week 01 | Great Ocean Road Race,60-64,Male
Gary Desselle,,GBR,26,164,1566,Week 01 | Great Ocean Road Race,45-49,Male
